ID0001,Item1,480,2026-01-31
ID0002,Item2,562,2025-10-17
ID0003,Item3,831,2025-10-18
ID0004,Item4,226,2026-02-02
ID0005,Item5,265,2025-10-29
ID0006,Item6,365,2026-02-16
ID0007,Item7,344,2025-03-10
ID0008,Item8,40,2025-10-08
ID0009,Item9,68,2025-11-08
ID0010,Item10,275,2025-11-29
ID0011,Item11,414,2025-09-24
ID0012,Item12,739,2025-04-15
ID0013,Item13,511,2026-01-27
ID0014,Item14,168,2025-11-16
ID0015,Item15,995,2025-10-23
ID0016,Item16,699,2025-03-05
ID0017,Item17,737,2025-06-17
ID0018,Item18,954,2025-03-02
ID0019,Item19,333,2025-10-13
ID0020,Item20,126,2025-11-23
ID0021,Item21,317,2025-09-11
ID0022,Item22,472,2026-02-15
ID0023,Item23,135,2025-12-11
ID0024,Item24,829,2025-12-25
ID0025,Item25,983,2025-09-18
ID0026,Item26,664,2025-10-06
ID0027,Item27,16,2025-09-23
ID0028,Item28,81,2025-12-21
ID0029,Item29,837,2025-04-29
ID0030,Item30,917,2025-12-26
ID0031,Item31,235,2025-03-30
ID0032,Item32,286,2025-07-30
ID0033,Item33,882,2025-08-16
ID0034,Item34,774,2025-12-06
ID0035,Item35,212,2025-10-08
ID0036,Item36,907,2025-12-11
ID0037,Item37,168,2025-09-04
ID0038,Item38,774,2025-11-20
ID0039,Item39,197,2026-01-28
ID0040,Item40,75,2025-09-27
ID0041,Item41,192,2026-01-06
ID0042,Item42,626,2025-05-12
ID0043,Item43,150,2025-10-05
ID0044,Item44,222,2025-07-14
ID0045,Item45,507,2025-06-24
ID0046,Item46,248,2025-12-23
ID0047,Item47,464,2026-01-19
ID0048,Item48,948,2025-05-05
ID0049,Item49,928,2025-11-11
ID0050,Item50,549,2025-05-23
